hvage,hvsize,hvsize_pop,hvsize_chng,hvsize_where,hvsize_tribe,hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hmigrate_farm,health_dist,fhhconsume,vag_yn,vag_youth,comsvc_watsan_yr,comsvc_edu_yr,comsvc_health_yr
1,50,8,1,4,1 5,2,4,5,4,5,4,5,1,0,,,
2,18,5,1,4 5 13,1 5 6,5,7,6,5,5,4,3,0,,,,
2,18,9,3,,,2,3,8,3,5,3,1,0,,,,
2,57,4,3,,,1,8,10,8,5,8,3,1,1,,,
2,28,7,2,1 4,2 5,3,5,6,3,4,3,1,0,,,,
1,38,8,2,4,5,2,2,8,2,2,2,1,0,,,,
2,12,3,3,,,5,6,10,6,4,5,4,0,,,,
1,17,2,3,,,2,5,10,5,4,5,4,0,,,,
2,56,7,2,4,1 2 5,5,5,8,5,4,5,1,0,,,,
2,12,2,3,,,2,5,10,5,4,5,4,0,,,,
2,55,8,2,1 2 4,2 5,3,6,7,3,4,3,1,0,,,,
2,19,5,3,,,3,3,7,4,5,3,5,0,,,,
2,16,2,3,,,2,5,10,3,5,5,5,1,1,,,
2,69,7,2,2,1 2 5,2,7,10,2,4,5,5,1,1,,,
1,21,6,1,2,2 5,3,6,5,9,3,5,1,0,,,,
2,29,9,3,,,1,1,9,2,5,1,1,0,,,,
1,69,4,2,2,97,1,1,10,1,3,1,3,0,,,,
1,22,3,4,,,5,7,10,4,5,4,5,0,,,,
1,61,7,2,1 2 4,1 2 5,1,5,7,4,4,5,1,0,,,,
2,14,2,3,,,3,3,10,3,4,3,4,0,,,,
1,28,7,3,,,3,3,8,3,4,3,1,0,,,,
2,26,8,2,4,2 5,3,6,6,6,4,6,1,0,,,,
2,26,3,2,13,5,3,7,10,3,5,5,4,1,1,,,
2,27,3,2,1,2,5,5,10,5,4,5,3,0,,,,
2,80,9,2,4 6,2 8,4,7,5,9,5,7,1,0,,,,
2,13,2,3,,,4,6,9,5,4,5,4,0,,,,
1,12,5,2,97,2,3,5,9,5,4,5,1,0,,,,
1,28,3,2,2,5,2,6,10,5,5,5,4,0,,,,
1,16,2,2,5,5,3,6,8,4,5,5,1,0,,,,
2,54,9,1,1 2 4 97,2 5,3,4,9,2,4,3,1,0,,,,
2,28,3,3,,,2,5,10,5,5,5,5,0,,,,
2,26,3,2,2 4,2 5,3,5,8,3,4,3,4,0,,,,
2,102,4,3,,,3,3,10,3,4,2,3,0,,,,
2,33,5,4,,,3,5,7,1,5,2,5,0,,,,
2,18,2,3,,,5,5,8,5,3,5,3,0,,,,
2,60,5,2,2 3 13,5,3,5,10,5,3,5,4,0,,,,
2,31,7,2,1 2 4,1 2 5,4,5,9,5,4,5,1,0,,,,
2,21,3,3,,,4,4,10,4,3,4,4,0,,,,
1,16,9,2,13 97,2 5,2,4,7,4,4,4,1,0,,,,
2,41,5,2,2 13,5,1,5,10,5,4,5,5,0,,,,
1,29,5,2,1,2 5,3,5,8,5,5,5,1,0,,,,
2,42,3,3,,,2,2,10,2,5,2,3,1,1,,,
1,9,2,3,,,4,7,10,4,5,4,5,0,,,,
2,23,3,3,,,3,7,10,7,4,7,1,1,1,,,
2,14,9,1,1 2 13,2 5 97,3,4,8,4,3,4,1,0,,,,
2,21,2,3,,,3,9,10,8,3,8,2,1,1,,,
2,16,3,3,,,2,6,10,3,5,5,5,0,,,,
1,21,7,2,1,2,3,6,5,2,4,1,1,0,,,,
2,13,2,3,,,5,8,9,6,4,6,4,0,,,,
1,24,6,2,1,2,3,6,6,2,4,2,1,0,,,,
2,30,7,4,,,3,6,8,3,4,3,4,0,,,,
1,34,5,3,,,5,5,7,5,3,5,1,1,1,,,
1,45,8,2,1 4,2 5,3,3,5,2,4,2,1,0,,,,
1,12,4,3,,,3,3,8,3,4,5,1,0,,,,
2,30,6,4,,,2,6,8,2,5,3,1,0,,,,
1,24,4,4,,,3,4,7,4,4,4,5,0,,,,
2,20,7,4,,,3,3,6,3,5,3,1,0,,,,
1,10,5,3,,,3,5,7,3,4,4,1,0,,,,
2,23,3,3,,,5,5,9,5,3,4,3,1,1,,,
1,36,3,2,4,5,3,6,10,3,5,5,4,0,,,,
2,31,4,3,,,1,5,9,5,3,4,4,1,1,,,
2,53,9,2,1,1 5 6,3,5,9,2,5,2,4,1,1,,,
2,56,4,3,,,2,5,8,5,4,5,3,1,1,,,
1,40,9,1,4,97,3,3,8,2,5,2,4,0,,,,
2,25,3,3,,,3,7,10,5,4,5,4,1,1,,,
2,33,6,2,1 2,1 4 5,4,8,9,2,5,2,5,0,,,,
2,35,4,5,,,5,8,10,5,5,6,5,0,,,,
1,25,7,2,1,5,2,3,8,2,4,5,1,0,,,,
1,23,5,3,,,3,4,8,3,4,4,1,1,1,,,
1,11,5,4,,,3,6,7,2,4,5,1,0,,,,
,50,9,1,1 4 5 13 14,4 5,2,6,8,1,5,3,1,0,,,,
1,28,7,3,,,1,2,7,3,4,5,1,0,,,,
2,32,9,2,2,1 2,4,7,8,4,4,5,1,0,,,,
1,42,6,3,,,4,7,7,3,4,5,1,0,,,,
2,85,8,2,1 2 4 97,1 2 5,3,5,8,3,3,5,1,0,,,,
1,38,4,2,4,5,3,7,10,8,5,7,3,0,,,,
1,14,9,1,5 6 13,5,3,7,6,10,5,7,1,0,,,,
1,24,7,2,4 13,5,3,7,10,7,5,7,5,0,,,,
1,40,2,2,2 4,5,7,9,10,5,5,7,3,0,,,,
1,48,3,2,4,5,6,8,8,7,5,7,4,0,,,,
2,51,9,2,97,1 2,5,7,8,5,5,5,1,0,,,,
2,11,7,1,97,1 2,2,6,3,2,4,2,1,0,,,,
2,10,3,2,97,1,3,6,2,3,3,3,1,1,1,,,
2,8,2,4,,,3,7,2,3,5,3,1,1,1,,,
1,14,7,3,,,3,3,4,3,5,3,1,1,1,,,
2,10,3,5,,,2,3,2,2,5,2,1,0,,,,
2,27,6,2,4,5,2,6,6,2,5,2,1,0,,,,
1,15,4,5,,,3,6,5,3,5,3,1,1,1,,,
1,28,8,1,4 5 13,5,3,8,8,3,5,6,5,0,,,,
2,69,8,1,6 13,1 2 5,5,6,8,5,5,4,4,0,,,,
,19,6,2,4,5,3,5,6,3,3,4,1,0,,,,
2,70,9,1,6 13,2 5 97,4,6,7,6,4,6,1,0,,,,
2,88,7,2,2,2,2,2,8,2,5,2,5,0,,,,
2,26,7,4,,,2,2,6,2,4,2,1,0,,,,
2,20,6,2,1 2 4 5 13,5,1,1,6,1,5,1,1,0,,,,
2,14,7,2,97,2,3,4,7,3,3,5,1,0,,,,
1,20,3,3,,,3,3,6,3,3,3,1,0,,,,
2,15,2,3,,,3,3,10,2,5,5,4,0,,,,
1,21,2,2,2,2,2,5,10,4,5,4,3,0,,,,
2,53,8,1,1 4,5,1,5,4,9,4,4,1,0,,,,
2,30,7,2,1,1,4,5,5,4,5,4,5,1,1,,,
2,11,6,5,,,3,8,3,3,3,3,1,0,,,,
1,13,6,2,5 13,5,4,9,4,7,5,4,1,0,,,,
2,14,7,4,,,3,8,3,3,4,3,2,0,,,,
1,10,6,2,97,1,3,9,8,2,4,3,1,0,,,,
2,28,7,3,,,2,11,6,2,4,2,1,0,,,,
1,7,4,2,1 2,1,3,8,7,3,5,3,1,0,,,,
1,32,3,3,,,4,7,5,4,5,5,4,0,,,,
2,30,4,3,,,5,8,5,5,4,5,4,0,,,,
2,29,5,2,2,1,2,8,4,8,4,3,3,0,,,,
1,17,4,3,,,3,8,5,3,5,3,4,0,,,,
1,9,3,3,,,2,8,5,7,3,5,3,0,,,,
2,21,9,4,,,3,6,8,3,5,3,5,1,1,,,
1,11,5,4,,,5,5,3,7,5,5,1,0,,,,
1,28,9,1,4 6,1,2,2,7,2,4,1,1,0,,,,
2,30,3,3,,,2,2,7,2,5,2,5,0,,,,
1,6,5,3,,,3,5,5,4,3,4,4,1,1,,,
2,4,1,4,,,3,6,5,3,5,3,1,0,,,,
2,30,7,2,1 5 6,1 5,3,6,5,3,5,3,1,1,1,,,
2,16,4,5,,,2,5,5,1,5,2,1,0,,,,
2,17,7,2,97,1,3,3,5,3,4,3,1,1,1,,,
2,19,8,1,97,1,4,5,5,4,2,4,1,1,0,,,
2,16,8,1,6 9,1,3,5,5,3,3,3,1,1,0,,,
2,7,2,3,,,3,5,5,3,3,3,1,0,,,,
1,11,3,3,,,3,5,5,3,5,3,5,0,,,,
2,30,7,2,5 13,1,2,5,5,1,5,2,5,0,,,,
2,13,8,2,2,1,2,5,5,2,5,2,1,1,1,,,
2,18,3,1,3,5,3,6,5,4,4,4,3,1,1,,,
2,11,3,2,97,1,2,2,4,2,5,2,1,1,1,,,
2,14,5,5,,,3,4,4,4,3,3,1,1,1,,,
2,43,9,2,1 5,1,2,2,4,2,3,2,1,1,1,4,,4
2,10,2,4,,,2,2,4,2,1,2,1,1,1,,,
2,9,3,2,97,1,2,3,4,3,3,3,1,0,,,,
1,9,1,2,97,1,2,2,4,2,5,2,3,1,1,,3,3
1,6,2,2,1,1,2,2,4,2,5,2,1,1,0,,,2
2,19,7,2,5,5,2,5,4,5,3,2,1,1,1,,,4
2,9,3,5,,,3,4,3,4,3,4,1,0,,,,
2,12,3,2,1,1,2,3,4,3,5,3,4,1,0,,2,
2,15,2,3,,,1,1,4,2,5,2,5,1,1,,2,
2,17,6,1,1,1,3,3,4,3,3,3,1,1,1,,,
2,14,7,1,5 97,1 5,2,5,4,5,4,2,1,1,1,4,,4
2,18,2,2,1,1,2,5,4,5,5,5,4,1,0,,3,
2,8,2,1,2,1,2,2,4,2,5,2,1,0,,,,3
2,6,3,3,,,2,2,5,2,2,2,4,1,1,,4,3
1,22,4,3,,,2,5,5,5,5,5,4,1,1,,4,
1,33,8,2,1 2,1,1,5,5,1,4,2,4,1,1,,2,2
2,15,4,2,1,1,4,4,4,4,4,4,1,1,0,,,
2,6,2,3,,,3,5,5,5,1,4,3,1,1,,2,2
2,18,2,1,97,1,2,4,4,4,4,4,1,1,1,,,
2,6,5,2,1,1,2,2,4,2,5,2,5,1,0,,,
2,6,2,2,1,1,3,3,4,3,3,3,1,1,0,,,3
1,16,5,2,1,1,3,6,3,3,2,3,1,1,0,,,
2,12,2,2,97,1 2,3,5,2,3,5,3,1,0,,,,
1,8,3,3,,,2,6,3,2,5,2,5,1,0,,,
2,10,8,1,97,1,3,5,3,3,1,3,1,0,,3,,
2,6,2,5,,,2,7,2,2,1,4,1,0,,,,2
2,20,5,2,97,1,3,8,3,3,4,3,1,1,1,,,
2,6,2,5,,,3,8,3,3,4,3,1,0,,,,
1,6,5,1,1,1,2,2,3,2,4,2,1,1,0,,2,
1,21,3,2,1 4 13,1 5,3,6,3,5,4,5,1,0,,,,
2,20,5,2,1,1,5,8,3,5,1,5,1,1,0,,,2
2,40,9,1,97,1,1,1,3,1,2,1,1,1,1,,4,
2,10,3,5,,,3,8,3,3,1,3,1,0,,,,
2,21,8,2,1,1,2,7,2,2,4,2,2,1,0,,4,2
1,16,3,1,1,1,1,3,4,3,2,3,2,1,1,,3,
2,35,9,2,5,5,1,7,2,1,3,1,1,1,1,,,
2,8,2,5,,,2,8,3,2,4,2,1,1,1,,,
2,12,6,2,1,1,2,8,3,2,4,2,1,1,0,,,
2,13,6,4,,,1,1,2,1,3,3,1,1,1,,,2
1,11,4,4,,,5,7,2,7,2,5,2,1,0,,3,2
2,14,3,4,,,2,4,2,4,1,4,1,1,1,,,2
1,14,6,2,1,1,5,5,3,5,5,5,1,1,0,,4,2
2,6,2,1,1 2,1,2,2,3,2,2,2,2,1,1,,,
1,9,3,1,1 97,1,2,7,3,2,2,2,1,1,1,,,
2,22,9,4,,,2,8,3,3,2,3,1,0,,,,
2,9,2,5,,,2,8,3,3,2,3,1,0,,,,
2,23,9,1,97,1,2,8,3,2,2,2,1,1,1,,,
1,8,3,2,1,1,3,6,2,3,2,5,2,1,1,,2,2
1,7,3,1,1 15,1,2,7,3,2,3,2,1,1,1,,,
1,8,2,2,97,1,2,2,2,2,2,2,2,1,0,,,
1,6,2,3,,,5,8,3,5,5,5,1,,,,,
2,15,4,2,5,5,3,7,2,3,4,3,1,0,,,,
2,6,1,4,,,3,7,2,3,4,4,1,0,,,,2
2,32,3,4,,,2,6,4,2,4,2,1,1,0,,,
2,10,3,1,1,1,2,8,3,2,5,2,1,1,0,,2,
2,13,5,1,2,1 2,2,5,1,2,4,3,1,1,1,,,
2,7,2,2,1,1,3,8,3,3,4,3,1,1,1,,,
2,9,2,4,,,2,7,2,2,4,3,1,0,,,,2
2,9,2,4,,,4,7,2,4,1,5,1,0,,,,2
2,6,3,1,97,1,2,2,3,2,2,2,2,1,0,,,
2,8,2,4,,,4,7,2,4,4,4,1,0,,,,2
1,21,8,2,1,1,3,7,2,4,4,5,1,1,0,,4,2
2,9,3,4,,,3,7,2,3,4,4,1,1,0,,,2
1,8,2,1,1,1,3,3,2,3,2,3,5,1,1,,1,
2,10,3,2,1,1,2,4,4,4,3,4,1,1,0,,3,
2,12,5,5,,,3,8,3,3,1,2,1,1,1,,,3
1,6,2,2,1 97,1,2,7,2,2,4,2,2,1,1,,,
2,29,7,4,,,1,8,3,1,3,1,1,1,0,,,
1,12,3,4,,,4,7,2,4,2,5,3,1,0,,4,2
2,12,5,2,1,1,3,7,2,3,5,5,1,1,0,,4,2
2,13,9,1,1,1,5,7,2,3,2,5,2,1,0,,2,2
2,1,1,5,,,3,7,2,3,5,4,1,0,,,,
1,11,1,5,,,3,3,2,3,1,3,1,1,1,,,
2,21,5,5,,,2,2,2,2,4,2,1,1,1,,,2
1,6,2,4,,,2,4,4,11,5,2,4,0,,,,
2,12,3,4,,,2,9,10,2,5,2,1,1,1,,4,
2,50,9,1,1 5 11 13 14,4 5 6,3,7,3,7,5,3,1,1,0,,3,2
1,35,2,2,1,1,2,6,3,2,4,2,3,1,0,,,
1,12,3,2,1,1,3,6,3,3,1,3,1,1,1,,,
1,35,9,1,1,1,2,6,2,2,3,2,2,0,,,,
1,22,7,2,2,1,2,2,3,2,5,2,3,0,,,,
1,22,7,2,5 14,1 5,3,4,3,4,5,4,4,,,,,
2,10,3,2,97,1,2,2,2,2,3,3,1,0,,,,1
2,17,5,2,1,1,2,3,2,2,2,2,4,,,,,
2,10,6,4,,,2,2,2,2,1,2,1,1,0,,,2
2,35,6,1,5 13,5,2,4,3,4,3,4,5,0,,,,
2,15,7,1,14,4,5,8,3,5,5,5,5,0,,,,
2,30,7,2,5 14,4 5,2,7,2,7,5,6,5,0,,,,
2,12,4,2,4,1 3 4 6,3,9,2,7,5,3,1,1,1,,,
2,13,9,1,5 14,4 5,4,8,3,4,4,4,5,1,,,,
1,46,9,1,5 14,4 5,3,8,2,7,5,3,1,0,,,,
1,30,9,1,5 13 14,4 5,2,9,3,8,5,4,1,0,,,,
1,12,3,2,14,3,1,7,2,7,5,4,5,1,1,,,
1,20,9,3,,,5,8,2,7,5,3,1,0,,,,
2,25,7,2,14,4,3,8,3,8,5,5,1,0,,,,
1,32,7,1,14,4,2,7,2,7,5,2,5,0,,,,
2,7,2,5,,,2,7,2,4,2,5,1,0,,,,
1,20,3,1,1,1,1,8,3,2,1,4,1,1,0,,,2
2,7,2,3,,,2,6,1,2,4,2,1,0,,,,
2,2,1,3,,,3,6,1,4,5,4,1,,,,,
2,100,9,1,1 4,3 4 7 97,2,6,1,6,5,4,1,,,,,
2,87,9,2,1 97,3 4,1,3,1,3,5,3,1,0,,,,
2,45,3,2,2 4,4 7,1,6,1,6,5,4,1,,,,,
2,6,1,2,1,3,2,5,1,4,5,4,1,1,1,,,
2,2,1,3,,,3,6,1,3,5,3,1,0,,,,
2,24,6,2,1 2,3 6,4,8,,4,5,3,1,,,,,
2,8,2,2,97,3,4,4,9,11,5,4,1,1,1,,,
1,6,1,3,,,3,,10,,5,3,1,,,,,
2,1,1,5,,,3,11,10,11,5,3,1,0,,,,
2,3,1,3,,,3,11,10,10,5,3,1,1,1,,,
2,11,2,4,,,4,11,10,11,5,5,2,1,1,,,
1,2,1,3,,,4,,,,5,4,1,,,,,
2,26,4,4,,,1,11,10,11,5,5,1,1,0,,,
2,8,2,3,,,3,11,10,11,5,6,1,,,,,
2,12,2,2,97,3,3,11,10,11,5,3,1,,,,,
2,7,1,1,1,3,2,11,10,11,5,3,1,1,0,,,
2,3,1,1,97,6,4,10,10,11,5,4,1,,,,,
2,2,1,3,,,4,11,10,11,5,4,1,,,,,
2,15,4,2,1 97,3,3,11,9,11,4,3,1,1,0,,,
1,6,1,3,,,4,11,9,10,5,4,1,1,0,,,
1,3,1,3,,,3,11,10,11,5,3,1,1,0,,,
2,4,1,4,,,2,,,,5,2,1,0,,,,
2,5,1,3,,,2,11,9,11,5,2,1,1,1,,,
2,7,2,2,4 97,6,2,,,,1,5,1,0,,,,
2,3,1,2,2,3,2,7,9,11,2,3,2,1,1,,,
2,5,1,4,,,4,11,10,11,5,5,1,,,,,
2,14,3,1,97,3,4,11,9,11,4,4,1,1,1,,,
2,6,1,2,1 97,6,3,11,10,10,5,3,1,,,,,
2,15,4,4,,,3,11,,11,5,5,1,0,,,,
2,5,1,2,1,3,4,11,10,11,5,6,1,1,0,,,
2,4,2,2,97,3,3,10,9,10,5,3,1,,,,2,
2,14,3,1,2 97,3 6,3,11,10,11,3,5,1,1,0,,,
2,12,3,2,97,3,4,11,10,11,5,4,4,,,,,
2,40,9,1,1 97,3 4 6,1,9,7,9,5,1,1,0,,,,
2,2,1,3,,,3,6,8,10,5,3,1,1,0,,,
2,1,1,5,,,2,11,10,11,5,2,1,1,1,,,
2,148,9,1,4 11 97,1 4 97,2,2,1,2,2,2,4,0,,,,
2,110,9,5,,,3,6,1,3,4,3,1,0,,,,
2,4,1,2,14,4,2,11,9,11,2,2,5,,,,,
2,26,4,1,1,3 6,3,10,10,10,4,3,1,0,,,,
2,15,3,4,,,3,10,,10,5,3,1,0,,,,
2,9,2,2,97,3,3,5,9,11,5,3,1,0,,,,
2,10,3,3,,,4,10,6,4,5,4,5,0,,,,
2,14,3,3,,,2,2,5,2,5,2,1,0,,,,
2,13,4,1,1 2,4 6,3,11,8,9,5,3,2,1,0,,,
2,8,1,2,97,3,3,11,,,1,3,2,0,,,,
1,4,1,3,,,1,9,6,9,5,1,1,0,,,,
2,13,5,3,,,3,9,8,9,5,3,1,0,,,,
2,4,2,4,,,1,9,7,9,4,4,1,0,,,,
1,11,2,3,,,4,4,5,4,5,4,2,0,,,,
2,3,1,5,,,2,,,,5,3,5,,,,,
1,6,3,3,,,3,9,6,3,5,3,5,0,,,,
2,2,1,3,,,2,9,4,3,5,2,4,1,,,,
2,11,2,3,,,4,4,4,4,5,4,1,0,,,,
,5,2,3,,,1,9,10,9,5,1,1,0,,,,
1,4,1,4,,,1,9,7,9,5,2,1,0,,,,
2,11,3,5,,,2,9,10,9,5,5,1,0,,,,
2,6,1,5,,,3,,7,10,5,3,1,,,,,
,8,2,3,,,2,9,7,9,5,1,1,0,,,,
2,30,3,2,97,3,3,,3,8,5,3,1,0,,,,
2,5,1,3,,,2,9,,9,5,2,1,0,,,,
2,9,2,5,,,5,11,10,11,5,5,1,1,0,,,
2,10,2,2,97,3,2,5,1,5,5,5,1,1,0,,,
2,10,3,2,97,97,2,6,1,6,4,5,1,0,,,,
2,4,1,5,,,3,4,1,5,1,4,1,0,,,,
2,5,1,5,,,3,6,1,6,5,6,1,0,,,,
2,7,2,2,97,4,3,5,1,5,5,5,1,1,1,,,
1,2,1,3,,,3,4,1,5,5,4,1,0,,,,
2,3,1,3,,,3,5,1,5,5,5,1,0,,,,
1,1,1,3,,,3,5,1,5,5,5,1,0,,,,
1,1,1,3,,,4,5,1,5,5,5,1,0,,,,
2,4,2,5,,,2,4,1,5,5,5,1,0,,,,
2,6,2,3,,,2,4,1,4,5,4,1,,,,,
2,10,5,4,,,1,5,1,5,5,5,1,0,,,,