hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hwhoperm,hallocateoften,hnewclear_a,hcleardriver1,hcleardriver2,hrank_health,hrank_farmland,hrank_edu,hrank_job,watsource,watsource_prim,watsource_hhnum,watsource_safe,watsource_whysafe,watsource_whynosafe,borehole_func,borehole_nonfunc,borehole_mgmt,borehole_chall_yn,borehole_chall,borehole_seaschng,borehole_yrchng,health_dist,health_trans,health_qual,health_out,health_outfreq,health_outtype,health_chw,health_chwtype,health_chwfreq,health_chwsvc,fhhinc_timber,fhhinc_nontimber,fincomeprod_1,fincomeprod_2,forest_noaccess,noaccwhy,noaccimpact,forstrict_who,forguard,ccrb_yn,ccrb_name,vag_yn,vag_name,vag_meet,vag_whoattnd,vag_women,vag_womrestrict,vag_youth,govern_foruse,gov_change,gov_changewho,fparticipateyn,ftalk_who,comsvc,comsvc_watsan_yr,comsvc_watsan_imp,comsvc_edu_yr,comsvc_edu_imp,comsvc_health_yr,comsvc_health_imp,comsvc_mgmt,hunt_unauth,wood_unauth,fpolicy_action,fpolicy_effective,fclear_yn,fclear_punishyn,fclear_punish,fclear_rulebreak,fclear_rulefollow,fclear_who,fclear_whomost,fhuntfire_yn,fhuntfire_punishyn,fhuntfire_punish,fhuntfire_rulebreak,fhuntfire_rulefollow,fhuntfire_who,fhuntfire_whomost,ftimber_yn,ftimber_punishyn,ftimber_punish,ftimber_rulebreak,ftimber_rulefollow,ftimber_who,ftimber_whomost,ffire_yn,ffire_punishyn,ffire_punish,ffire_rulebreak,ffire_rulefollow,ffire_who,ffire_whomost,hproblem_job,hfsupport,hfsupport_who,hfsupport_type,hfrstserv_ben_1,hfrstserv_ben_2,hfrstserv_ben_3,hfrstserv_ben_4,hfrstserv_ben_5,hfrstserv_ben_6,htourism_pay,htourism_whoreceive,htourism_amt,hmine_co,hmine_pay,hmine_whoreceive,hmine_amt,watt_tour,watt_lodge,crbatt_employ,conserve_neg,hunt_prestige,parkatt_waste,parkatt_help,parkatt_employ,parkatt_meat,parkatt_adverse,parkatt_outside,parkatt_harrass,hvage,hvsize,hvsize_pop,hvsize_chng,hvsize_where,hvsize_tribe,hnear_primschool,hnear_secschool,hnear_road,hnear_mkt,hmigrate_farm,health_dist,fhhconsume,vag_yn,vag_youth,comsvc_watsan_yr,comsvc_edu_yr,comsvc_health_yr,
3,6,5,2,1,5,10,2,1,5,5,5,5,2,,21,3,,3,3,4,2 4,1,2 4,0,3,1,1,3,0,,,1,1,2,1,5,5,0,,1,6,0,9,0,0,,0,,,,,,,1,0,,1,3 4 5,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,2,4,4,4,1,4,1,21,7,2,1,2,3,6,5,2,4,1,1,0,,,,,
5,8,9,6,2,4,6,1,2,5,5,5,5,4,,13,3,,1,,0,,,,,,6,2,2,0,,,0,,,,5,4,7,0,0,,,,0,0,,0,,,,,,,7,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,2,2,4,3,3,4,4,4,2,2,13,2,3,,,5,8,9,6,4,6,4,0,,,,,
3,6,6,2,1,5,3,4,2,5,4,5,2,2 4,4,23,3,,3,,0,,,,,,2,1,1,0,,,0,,,,5,4,7,6,0,,,,0,0,,0,,,,,,,3,0,,1,3 4 8,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,4,4,4,1,5,5,4,2,3,1,24,6,2,1,2,3,6,6,2,4,2,1,0,,,,,
3,6,8,3,1,4,5,1,0,5,3,3,5,2 3,2,30,1,1,,1,0,0,1,2,0,3,3,1,2,0,,,0,,,,5,5,7,6,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,4,0,,1,1,9,0,1,3,,1,1,9,0,1,3,,0,,,,,,,1,1,9,0,1,3,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,1,4,3,2,5,4,1,4,2,30,7,4,,,3,6,8,3,4,3,4,0,,,,,
5,5,7,5,1,5,5,2,0,5,1,5,1,4 8,8,34,1,1 3,,,0,,,,,,5,1,1,1,4,1,1,1,3,2,5,4,20,0,0,,,,0,1,97,1,,,2,1,3,1,7,0,,1,3 4 5,0,,,,,,,1,5,5,1,3,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,4,4,2,4,4,4,4,4,4,4,4,4,1,34,5,3,,,5,5,7,5,3,5,1,1,1,,,,
3,3,5,2,1,4,5,1,0,4,4,5,3,2,,45,3,,97,2,1,97,1,3 97,0,3,2,2,1,0,,,0,,,,5,4,11,14,0,,,,0,0,,0,,,,,,,3,0,,1,3 4,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,7,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,2,2,1,5,4,4,1,2,1,45,8,2,1 4,2 5,3,3,5,2,4,2,1,0,,,,,
3,3,8,3,2 4,5,0,,,5,5,5,5,4,,34,3,,3,,0,,,,,,5,2,2,0,,,1,1,5,1 2,1,5,11,7,0,,,,0,0,,0,,,,,,,8,1,2,1,4,,,,,,,,,4,5,0,,1,0,,0,1,4,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,2,2,4,5,4,4,1,4,1,12,4,3,,,3,3,8,3,4,5,1,0,,,,,
2,6,8,2,2,3,10,4,2,5,5,5,5,4,,30,2,1,2,,0,,,,,,3,1,2,1,4,97,0,,,,5,5,11,20,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,3,4,4,2,4,4,4,1,4,2,30,6,4,,,2,6,8,2,5,3,1,0,,,,,
3,4,7,4,1,4,3,1,2,5,1,5,4,2,,24,1,3,,1,0,1,1,2 4,0,3,4,1,1,1,4,1 3,1,2,3,1 2 3 7,5,5,3,0,1,7,0,2,0,1,2,0,,,,,0,,2,0,,0,,0,,,,,,,0,4,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,2,2,3,4,1,4,2,2,4,5,2,4,1,24,4,4,,,3,4,7,4,4,4,5,0,,,,,
3,3,6,3,1,5,0,,,5,3,5,5,2,,50,1,3,,1,0,4,1,2 4,2,3,3,1,1,0,,,1,1,5,1,4,5,20,7,0,,,,0,0,,0,,,,,,,3,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,5,2,,3,4,2,2,4,4,4,1,4,2,20,7,4,,,3,3,6,3,5,3,1,0,,,,,
3,5,7,3,1,5,10,2,0,5,5,5,1,2,,50,1,3,,1,0,0,1,2,0,3,4,1,1,1,5,97,0,,,,5,5,7,20,0,,,,0,0,,0,,,,,,,9,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,4,4,4,4,4,2,4,1,10,5,3,,,3,5,7,3,4,4,1,0,,,,,
5,5,9,5,2,5,0,,,5,5,5,5,8,,23,3,,1,,0,,,,,,4,1,1,0,,,0,,,,3,3,20,0,0,,,,0,1,2,1,6,5,5,1,1 3,1,8,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,5,4,3,4,1,4,2,4,4,3,1,3,2,23,3,3,,,5,5,9,5,3,4,3,1,1,,,,
3,6,10,3,1,4,5,1,2,5,5,5,5,4,,36,3,,1,,0,,,,,,5,1,1,0,,,0,,,,5,4,0,,0,,,,0,0,,0,,,,,,,2,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,1,1,9,0,1,2,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,4,,4,1,4,2,4,4,3,2,4,1,36,3,2,4,5,3,6,10,3,5,5,4,0,,,,,
1,5,9,5,2,3,5,1,2,5,5,5,5,8,,31,3,,1,,0,,,,,,4,1,2,0,,,0,,,,4,4,20,0,0,,,,0,1,2,1,7,5,4,1,0,1,8,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,1,4,3,4,1,3,1,1,3,3,1,3,2,31,4,3,,,1,5,9,5,3,4,4,1,1,,,,
3,5,9,2,1,5,0,,,5,3,4,5,2,,53,1,3,,4,0,1,1,2 5,0,3,2,1,1,0,,,0,,,,5,3,7,11,0,,,,1,1,2,1,9,4,4,0,5,1,8,0,,1,2 3 8,0,,,,,,,0,3,5,1,4,1,1,12,0,1,3,,1,1,10,0,2,3,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,2,3,4,1,5,2,2,3,3,2,5,2,53,9,2,1,1 5 6,3,5,9,2,5,2,4,1,1,,,,
2,5,8,5,2,4,0,,,5,5,5,5,8,,85,3,,1 2,,0,,,,,,5,1,1,0,,,0,,,,5,3,20,9,0,,,,0,1,2,1,7,5,4 5,1,3 97,1,8,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,5,3,4,1,3,3,3,4,2,1,2,2,56,4,3,,,2,5,8,5,4,5,3,1,1,,,,
3,3,8,2,1,5,0,,,5,3,5,5,2,,44,2,2,97,1,0,1,1,3,1,4,2,1,1,0,,,1,2,4,3,5,5,11,6,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,4,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,2,2,,4,2,2,3,3,4,4,2,3,1,40,9,1,4,97,3,3,8,2,5,2,4,0,,,,,
3,7,10,5,2,4,0,,,5,5,5,5,8,,25,3,,1,,0,,,,,,5,2,1,0,,,1,97,1,1 3 4,5,4,20,0,0,,,,0,1,2,1,7,5,4,1,3,1,8,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,4,3,2,2,3,4,5,3,3,1,2,2,25,3,3,,,3,7,10,5,4,5,4,1,1,,,,
4,8,9,2,1,5,0,,,5,5,5,5,4,,33,3,,2,,0,,,,,,2,1,2,0,,,1,2,4,1 3,5,4,7,11,0,,,,0,0,,0,,,,,,,1,,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,5,,3,2,4,2,5,5,4,1,5,2,33,6,2,1 2,1 4 5,4,8,9,2,5,2,5,0,,,,,
5,8,10,5,1,5,6,1,0,5,5,5,5,4,,35,3,,97,,0,,,,,,6,1,2,0,,,1,97,3,1 4,5,3,7,6,0,,,,0,1,2,0,,,,,1,,2,0,,0,,0,,,,,,,0,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,1,1,5,4,1,4,2,4,3,4,1,4,2,35,4,5,,,5,8,10,5,5,6,5,0,,,,,
2,3,8,2,1,5,0,,,5,5,5,5,4,,25,3,,1 2 3,,0,,,,,,5,1,4,0,,,0,,,,5,5,22,6,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,1,0,,0,1,97,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,4,,4,4,4,2,4,4,4,1,4,1,25,7,2,1,5,2,3,8,2,4,5,1,0,,,,,
3,4,8,3,0,5,0,,,5,5,5,5,2,,150,1,3,,1,0,4,1,2 3 4,1,5,4,1,2,0,,,1,1,5,1,1,4,20,22,0,,,,0,0,,1,,4,6,0,3 5,1,8,0,,1,8,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,4,4,4,4,1,2,1,23,5,3,,,3,4,8,3,4,4,1,1,1,,,,
3,6,7,2,0,5,0,,,5,5,5,5,4,,12,3,,3,,0,,,,,,5,2,2,0,,,1,1,4,1,5,4,11,7,0,,,,0,0,,0,,,,,,,8,1,1,0,,,,,,,,,,5,5,0,,1,,,0,1,4,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,4,3,4,2,4,4,4,1,4,1,11,5,4,,,3,6,7,2,4,5,1,0,,,,,
2,6,8,1,1,5,10,97,0,5,5,5,4,4,,50,1,3,,,0,,,,,,3,1,3,0,,,1,1,5,1 2 4 10 11,5,4,20,22,0,,,,0,1,,0,,,,,5,,1,0,,1,4,0,,,,,,,0,5,3,0,,1,1,15,0,1,2,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,2,4,2,4,2,4,4,4,1,1,,50,9,1,1 4 5 13 14,4 5,2,6,8,1,5,3,1,0,,,,,
1,2,7,3,1,5,5,2,1,5,5,5,5,4,4,25,1,3,,,0,,,,,,5,2,2,0,,,0,,,,5,5,11,5,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,1,0,,0,2,2,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,4,1,5,5,4,2,5,1,28,7,3,,,1,2,7,3,4,5,1,0,,,,,
4,7,8,4,0,5,0,,,5,5,5,5,4,,32,3,,1 3,,0,,,,,,5,1,1,1,3,3 9,0,,,,5,4,22,20,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,6,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,5,2,4,5,2,1,4,2,32,9,2,2,1 2,4,7,8,4,4,5,1,0,,,,,
4,7,7,3,0,5,0,,,5,1,3,5,2 4,4,30,3,,3,,0,,,,,,5,3,2,0,,,0,,,,4,4,20,7,0,,,,1,0,,0,,,,,,,8,0,,1,3,,,,,,,,,3,5,1,4,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,5,5,,2,4,4,1,2,2,4,2,2,1,42,6,3,,,4,7,7,3,4,5,1,0,,,,,
3,5,8,3,0,5,0,,,5,3,4,5,4,,85,3,,3 97,,0,,,,,,5,1,1,0,,,1,1,3,4 97,4,4,7,4,0,,,,0,0,,0,,,,,,,7,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,4,4,4,2,4,4,2,85,8,2,1 2 4 97,1 2 5,3,5,8,3,3,5,1,0,,,,,
3,7,10,8,1,5,5,1,2,5,5,5,5,4,,38,3,,97,,0,,,,,,7,2,1,0,,,0,,,,5,5,21,7,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,1,1,9,0,1,2,,0,,,,,,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,2,4,2,5,5,3,1,4,1,38,4,2,4,5,3,7,10,8,5,7,3,0,,,,,
3,7,6,10,0,4,100,1,3,5,5,5,5,4,,200,3,,1 2 3,,0,,,,,,7,3,1,0,,,1,1,4,1 2,5,5,0,,0,,,,1,0,,0,,,,,,,97,0,,1,3 4,,,,,,,,,5,3,0,,1,1,2 3,0,1,4 5,4,0,,,,,,,0,,,,,,,1,1,15,0,1,1,,7,0,,,0,0,0,0,0,0,,,,,,,,4,4,,5,5,5,4,4,5,5,2,5,1,14,9,1,5 6 13,5,3,7,6,10,5,7,1,0,,,,,
3,7,10,7,1,4,5,1,2,5,5,5,5,4,,25,3,,97,,0,,,,,,7,3,1,1,2,1,0,,,,4,4,21,6,0,,,,1,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,1,5,4,4,5,4,1,4,1,24,7,2,4 13,5,3,7,10,7,5,7,5,0,,,,,
7,9,10,5,1,4,0,,,5,5,5,5,4,,40,3,,2,,0,,,,,,7,1,4,0,,,0,,,,3,4,11,6,0,,,,1,0,,0,,,,,,,8,0,,0,,,,,,,,,,4,5,0,,0,,,,,,,1,0,,0,1,3,,0,,,,,,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,,3,2,4,2,4,5,4,1,3,1,40,2,2,2 4,5,7,9,10,5,5,7,3,0,,,,,
6,8,8,7,1,3,8,1,2,5,5,5,5,4,,48,3,,97,,0,,,,,,7,2,2,0,,,0,,,,5,4,7,22,0,,,,1,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,1,1,15,0,1,1,,1,1,15,0,1,2,,1,1,1 2 15,0,1,1,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,2,2,,2,1,3,4,3,4,4,1,5,1,48,3,2,4,5,6,8,8,7,5,7,4,0,,,,,
5,7,8,5,97,4,10,2,0,5,5,5,2,8,,63,3,,1 3,,0,,,,,,5,1,1,1,4,1 2 3,0,,,,4,4,21,7,1,2,1 4,10,0,0,,0,,,,,,,8,0,,1,1 2 3 4,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,4,4,4,4,4,4,2,51,9,2,97,1 2,5,7,8,5,5,5,1,0,,,,,
2,6,3,2,2 3,4,0,,,3,2,5,5,2 4,2,25,1,3,,1,0,1,1,2 3,2,4,2,1,2,1,3,3,1,1,3,3,5,4,4,7,1,6,4 10,5 7 8,1,1,4,0,,,,,3,,5,1,2,1,2 3 4 8,0,,,,,,,4,5,5,4,2,1,1,10,0,1,1,,0,,,,,,,1,1,10,0,1,1,,1,1,10,0,2,1,,10,1,12,2,0,0,0,0,0,0,,,,,,,,2,2,3,3,2,4,3,2,4,4,3,4,2,11,7,1,97,1 2,2,6,3,2,4,2,1,0,,,,,
3,6,2,3,3,3,2,1,2,5,5,5,5,2,,100,1,1 3,,1,0,1,1,2,2,4,3,1,2,1,3,1,1,5,3,3,5,4,7,21,1,6,3,2 7 8,1,1,4,1,23,3,4,1,0,1,8,0,,1,8,0,,,,,,,1 5,5,5,4 5,1,1,1,10,0,1,97,,1,1,10,0,1,97,,1,1,10,0,1,97,,1,1,10,0,1,97,,10,1,10,2,0,0,0,0,0,0,,,,,,,,2,1,3,5,2,4,2,2,2,4,3,4,2,10,3,2,97,1,3,6,2,3,3,3,1,1,1,,,,
3,7,2,3,2 3 4,4,0,,,5,5,5,5,2 4,2,10,1,3,,1,0,1 2,1,2,2,4,3,1,2,1,3,1 3,1,1 3 5,3,3,5,5,0,,1,2,4 5 6,11,1,1,4,1,23,2,4,1,0,1,8,0,,1,1 3 8,0,,,,,,,4,5,4,3 4,1,1,1,10,0,1,97,,1,1,10 12,0,1,2,,1,1,10 12,0,1,97,,1,1,10,1,2,1,,10,0,,,0,0,0,0,0,0,,,,,,,,3,3,3,4,1,4,1,3,2,3,2,4,2,8,2,4,,,3,7,2,3,5,3,1,1,1,,,,
3,3,4,3,1,5,0,,,5,2,1,2,4,,14,3,,3 97,,0,,,,,,3,1,5,0,,,1,1,3,1 9,4,4,3,1,1,2,9 10,11 97,1,1,,1,,4,4,1,97,1,8,0,,0,,0,,,,,,,0,4,2,0,,0,,,,,,,0,,,,,,,1,1,12,0,1,888,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,4,4,4,4,4,2,4,4,2,4,1,14,7,3,,,3,3,4,3,5,3,1,1,1,,,,
2,3,2,2,2,3,0,,,5,5,5,3,2 4,4,7,3,,3,,0,,,,,,2,3,2,0,,,1,5,5,3,5,4,7,6,1,2,7 10,10 11,1,1,,0,,,,,0,,8,1,5,1,1,97,,,,,,,0,5,4,5,2,0,,,,,,,1,0,,5,4,1 2,2,0,,,,,,,1,0,,0,1,1,,10,0,,,0,0,0,0,0,0,,,,,,,,2,2,4,4,4,2,2,1,2,4,2,4,2,10,3,5,,,2,3,2,2,5,2,1,0,,,,,
2,6,6,2,2,3,10,97,0,5,5,5,5,2 8,8,6,2,3,2,1,0,4,1,1 2 3 4 5,0,3,2,1,1,1,4,97,1,5,4,97,5,5,11,0,1,6,0,8 9,1,1,,0,,,,,0,,5,1,2,0,,0,,,,,,,0,3,2,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,1,0,,,,,,,,2,2,2,1,5,1,1,2,2,5,4,4,2,27,6,2,4,5,2,6,6,2,5,2,1,0,,,,,
3,6,5,3,2,5,4,97,0,5,5,4,3,2,,36,1,3,,1,0,3,1,1 2 3,0,3,3,2,1,1,3,4,1,1 97,3,2 4,4,5,20,21,1,6,5,7 8,1,1,3,1,15,4,3 5,1,0,1,1,0,,1,3,97,,,,,,,0,5,4,2,2,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,2,4,2,2,2,2,1,2,3,2,1,1,1,15,4,5,,,3,6,5,3,5,3,1,1,1,,,,
3,8,8,3,2,4,12,1,2,5,2,5,3,2,,28,1,1 3,,1,0,97,0,,2,3,6,2,1,0,,,0,,,,5,5,0,,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,4,0,,0,,,,,,,1,1,9,0,1,1 2,1,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,5,4,,4,2,4,1,4,2,4,1,3,1,28,8,1,4 5 13,5,3,8,8,3,5,6,5,0,,,,,
5,6,8,5,1,3,0,,,5,5,5,3,2,,69,1,1,,2,0,1,1,2,0,3,4,1,1,0,,,1,2,1,1 2 6 7,4,4,11,6,0,,,,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,5,0,,,0,0,0,0,0,0,,,,,,,,5,2,,2,1,2,1,2,2,5,2,3,2,69,8,1,6 13,1 2 5,5,6,8,5,5,4,4,0,,,,,
3,5,6,3,2,3,4,3,2,5,4,4,4,2,,100,1,3,,1,0,4,0,,1,1,4,1,4,1,4,97,1,1,4,1 4 97,4,5,20,6,1,6,0,7 8,1,0,,0,,,,,,,7,0,,1,1 2,,,,,,,,,5,4,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,2,4,,2,3,4,2,4,4,3,1,2,,19,6,2,4,5,3,5,6,3,3,4,1,0,,,,,
4,6,7,6,0,5,0,,,5,5,5,1,4 8,8,53,3,,3 97,,0,,,,,,6,1,1,0,,,0,,,,3,4,20,4,0,,,,0,0,,0,,,,,,,6,0,,1,1 2 3,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,4,4,4,4,4,4,2,70,9,1,6 13,2 5 97,4,6,7,6,4,6,1,0,,,,,
2,2,8,2,1,4,3,1,0,5,1,5,3,2,,88,1,3,,1,0,1,1,2 5,0,3,2,1,3,0,,,0,,,,5,5,2,11,1,2 3,0,2,0,0,,0,,,,,,,1,0,,0,,,,,,,,,,4,4,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,3,0,,,0,0,0,0,0,0,,,,,,,,5,2,,3,2,4,2,2,4,4,1,3,2,88,7,2,2,2,2,2,8,2,5,2,5,0,,,,,
2,2,6,2,2,3,0,,,5,4,5,5,2 4,2,50,1,3,,1,0,4,1,1 2 3 4 5,2,3,2,2,1,1,4,10 97,0,,,,5,1,2,11,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,5,3,0,,,,,,,0,,,,,,,1,1,3,0,1,2,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,5,,4,4,2,2,4,3,4,2,4,2,26,7,4,,,2,2,6,2,4,2,1,0,,,,,
1,1,6,1,1,5,0,,,5,3,4,5,2 4,2,15,1,3,,3,0,1 4,1,2 4 5,0,3,1,1,1,0,,,1,4,4,1 10,3,3,3,7,1,2,5,11,1,0,,0,,,,,,,3,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,1,1,,,,,,,,5,4,,4,3,2,4,4,4,4,4,5,2,20,6,2,1 2 4 5 13,5,1,1,6,1,5,1,1,0,,,,,
3,4,7,3,0,5,1,2,0,5,5,5,5,2 4,4,120,3,,3 97,1,0,4,0,,1,5,5,1,1,1,4,9,1,1,3,3 4,5,5,20,5,0,,,,0,0,,0,,,,,,,8,1,2,1,3,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,5,5,,4,4,4,4,4,4,4,2,4,2,14,7,2,97,2,3,4,7,3,3,5,1,0,,,,,
3,3,6,3,0,5,5,2,4,4,5,5,5,2 4,2,100,1,3,,1,0,4,1,2,1,4,3,2,4,1,4,1 2 3,1,1,3,3 9 97,5,5,20,7,0,,,,0,0,,0,,,,,,,7,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,10,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,1,4,4,4,1,2,1,20,3,3,,,3,3,6,3,3,3,1,0,,,,,
3,3,10,2,2,1,0,,,5,3,5,5,4,,15,3,,2,,0,,,,,,5,1,1,0,,,0,,,,5,3,7,6,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,0,,,,,,,1,1,9,0,1,3,,0,,,,,,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,1,4,2,3,4,3,2,3,2,15,2,3,,,3,3,10,2,5,5,4,0,,,,,
2,5,10,4,1,4,5,1,2,5,5,5,5,4,,21,3,,97,,0,,,,,,4,1,2,0,,,0,,,,5,4,6,7,0,,,,0,0,,0,,,,,,,8,0,,0,,,,,,,,,,5,5,0,,1,0,,0,1,3,,1,1,9 15,0,1,1 2,2,1,1,15,0,1,3,,0,,,,,,,9,0,,,0,0,0,0,0,0,,,,,,,,5,4,,3,2,5,2,3,4,3,1,5,1,21,2,2,2,2,2,5,10,4,5,4,3,0,,,,,
1,5,4,9,0,5,50,5,2,5,5,5,1,4 8,8,53,3,,1 2 3,,0,,,,,,4,2,4,0,,,1,1,5,2,4,4,20,4,1,2,4 5,10,1,0,,0,,,,,,,8,1,3,1,1 2,,,,,,,,,4,4,0,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,8,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,2,4,4,2,4,4,2,53,8,1,1 4,5,1,5,4,9,4,4,1,0,,,,,
4,5,5,4,0,5,0,,,5,5,5,5,2,,35,1,97,,1,0,2,0,,0,3,4,2,2,1,3,1 3,0,,,,5,4,1,3,0,,,,0,1,4,1,20,3,3 4 5,1,0,1,0,1,5,0,,0,,,,,,,0,5,4,2 5,1,1,1,10 11,0,2,3,,0,,,,,,,0,,,,,,,0,,,,,,,10,1,3,2,0,0,0,0,0,0,,,,,,,,1,1,1,1,4,5,4,5,1,1,1,5,2,30,7,2,1,1,4,5,5,4,5,4,5,1,1,,,,
3,8,3,3,4,3,0,,,5,5,5,5,2,,100,1,3,,1,0,1,0,,2,4,3,1,3,0,,,1,3,4,1 3,5,5,0,,0,,,,1,0,,0,,,,,,,7,0,,0,,,,,,,,,,5,4,0,,1,1,15,0,2,3,,1,1,10,0,2,97,,1,1,15,0,2,4,,0,,,,,,,1,0,,,0,0,0,0,0,0,,,,,,,,4,4,,4,4,4,1,4,4,3,4,4,2,11,6,5,,,3,8,3,3,3,3,1,0,,,,,
